user_id,rank,recommended_skill,mastery_prob,explanation
64525,3,Equation Solving More Than Two Steps,0.7452971459149754,Student shows low estimated mastery (75%) on 'Equation Solving More Than Two Steps'. Recommend revisiting this skill before progressing. (Teacher review required.)
64634,1,Addition and Subtraction Integers,0.2085105862033749,Student shows low estimated mastery (21%) on 'Addition and Subtraction Integers'. Recommend revisiting this skill before progressing. (Teacher review required.)
64634,2,Multiplication Fractions,0.2087558549959144,Student shows low estimated mastery (21%) on 'Multiplication Fractions'. Recommend revisiting this skill before progressing. (Teacher review required.)
64634,3,Ordering Positive Decimals,0.2325238310479201,Student shows low estimated mastery (23%) on 'Ordering Positive Decimals'. Recommend revisiting this skill before progressing. (Teacher review required.)
64634,4,Conversion of Fraction Decimals Percents,0.3740841815094734,Student shows low estimated mastery (37%) on 'Conversion of Fraction Decimals Percents'. Recommend revisiting this skill before progressing. (Teacher review required.)
64634,5,Multiplication and Division Positive Decimals,0.4056865559480262,Student shows low estimated mastery (41%) on 'Multiplication and Division Positive Decimals'. Recommend revisiting this skill before progressing. (Teacher review required.)
70190,1,Solving for a variable,0.5652212700810549,Student shows low estimated mastery (57%) on 'Solving for a variable'. Recommend revisiting this skill before progressing. (Teacher review required.)
70190,2,Area Trapezoid,0.6567048405019229,Student shows low estimated mastery (66%) on 'Area Trapezoid'. Recommend revisiting this skill before progressing. (Teacher review required.)
70190,3,Addition and Subtraction Fractions,0.7672617274770419,Student shows low estimated mastery (77%) on 'Addition and Subtraction Fractions'. Recommend revisiting this skill before progressing. (Teacher review required.)
70363,1,Solving for a variable,0.2103401058249008,Student shows low estimated mastery (21%) on 'Solving for a variable'. Recommend revisiting this skill before progressing. (Teacher review required.)
70363,2,Finding Percents,0.4046676707020954,Student shows low estimated mastery (40%) on 'Finding Percents'. Recommend revisiting this skill before progressing. (Teacher review required.)
70363,3,Equation Solving More Than Two Steps,0.4346168102854703,Student shows low estimated mastery (43%) on 'Equation Solving More Than Two Steps'. Recommend revisiting this skill before progressing. (Teacher review required.)
70363,4,Pattern Finding ,0.6026263812315007,Student shows low estimated mastery (60%) on 'Pattern Finding '. Recommend revisiting this skill before progressing. (Teacher review required.)
70363,5,Write Linear Equation from Graph,0.6059174219161154,Student shows low estimated mastery (61%) on 'Write Linear Equation from Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70676,1,Division Fractions,0.6899897141301159,Student shows low estimated mastery (69%) on 'Division Fractions'. Recommend revisiting this skill before progressing. (Teacher review required.)
70676,2,Addition and Subtraction Integers,0.7109476849569178,Student shows low estimated mastery (71%) on 'Addition and Subtraction Integers'. Recommend revisiting this skill before progressing. (Teacher review required.)
70676,3,Subtraction Whole Numbers,0.7616514436739914,Student shows low estimated mastery (76%) on 'Subtraction Whole Numbers'. Recommend revisiting this skill before progressing. (Teacher review required.)
70676,4,Rounding,0.7627670813597547,Student shows low estimated mastery (76%) on 'Rounding'. Recommend revisiting this skill before progressing. (Teacher review required.)
70677,1,Divisibility Rules,0.2722122572234816,Student shows low estimated mastery (27%) on 'Divisibility Rules'. Recommend revisiting this skill before progressing. (Teacher review required.)
70677,2,Median,0.3887387462450766,Student shows low estimated mastery (39%) on 'Median'. Recommend revisiting this skill before progressing. (Teacher review required.)
70677,3,Finding Percents,0.4046676707020954,Student shows low estimated mastery (40%) on 'Finding Percents'. Recommend revisiting this skill before progressing. (Teacher review required.)
70677,4,Circle Graph,0.582999318748627,Student shows low estimated mastery (58%) on 'Circle Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70677,5,Solving for a variable,0.6729988602259378,Student shows low estimated mastery (67%) on 'Solving for a variable'. Recommend revisiting this skill before progressing. (Teacher review required.)
70679,1,Addition and Subtraction Integers,0.0407978074205413,Student shows low estimated mastery (4%) on 'Addition and Subtraction Integers'. Recommend revisiting this skill before progressing. (Teacher review required.)
70679,2,Addition and Subtraction Positive Decimals,0.1336968180804483,Student shows low estimated mastery (13%) on 'Addition and Subtraction Positive Decimals'. Recommend revisiting this skill before progressing. (Teacher review required.)
70679,3,Stem and Leaf Plot,0.2370949858467926,Student shows low estimated mastery (24%) on 'Stem and Leaf Plot'. Recommend revisiting this skill before progressing. (Teacher review required.)
70679,4,Absolute Value,0.5645077815036478,Student shows low estimated mastery (56%) on 'Absolute Value'. Recommend revisiting this skill before progressing. (Teacher review required.)
70679,5,Pattern Finding ,0.6026263812315007,Student shows low estimated mastery (60%) on 'Pattern Finding '. Recommend revisiting this skill before progressing. (Teacher review required.)
70682,1,Prime Number,0.6335921884281871,Student shows low estimated mastery (63%) on 'Prime Number'. Recommend revisiting this skill before progressing. (Teacher review required.)
70682,2,Solving for a variable,0.6349604312185454,Student shows low estimated mastery (63%) on 'Solving for a variable'. Recommend revisiting this skill before progressing. (Teacher review required.)
70682,3,Equation Solving Two or Fewer Steps,0.6392393182976164,Student shows low estimated mastery (64%) on 'Equation Solving Two or Fewer Steps'. Recommend revisiting this skill before progressing. (Teacher review required.)
70682,4,Unit Rate,0.6846954506534627,Student shows low estimated mastery (68%) on 'Unit Rate'. Recommend revisiting this skill before progressing. (Teacher review required.)
70682,5,Multiplication and Division Positive Decimals,0.791292831621466,Student shows low estimated mastery (79%) on 'Multiplication and Division Positive Decimals'. Recommend revisiting this skill before progressing. (Teacher review required.)
70684,1,Ordering Fractions,0.5805494633883872,Student shows low estimated mastery (58%) on 'Ordering Fractions'. Recommend revisiting this skill before progressing. (Teacher review required.)
70684,2,Division Fractions,0.6899897141301159,Student shows low estimated mastery (69%) on 'Division Fractions'. Recommend revisiting this skill before progressing. (Teacher review required.)
70684,3,Rounding,0.7627670813597547,Student shows low estimated mastery (76%) on 'Rounding'. Recommend revisiting this skill before progressing. (Teacher review required.)
70684,4,Multiplication and Division Positive Decimals,0.791292831621466,Student shows low estimated mastery (79%) on 'Multiplication and Division Positive Decimals'. Recommend revisiting this skill before progressing. (Teacher review required.)
70687,1,Divisibility Rules,0.2722122572234816,Student shows low estimated mastery (27%) on 'Divisibility Rules'. Recommend revisiting this skill before progressing. (Teacher review required.)
70687,2,Rotations,0.3120650780338843,Student shows low estimated mastery (31%) on 'Rotations'. Recommend revisiting this skill before progressing. (Teacher review required.)
70687,3,Scientific Notation,0.3480951560003169,Student shows low estimated mastery (35%) on 'Scientific Notation'. Recommend revisiting this skill before progressing. (Teacher review required.)
70687,4,Ordering Real Numbers,0.4161276399219415,Student shows low estimated mastery (42%) on 'Ordering Real Numbers'. Recommend revisiting this skill before progressing. (Teacher review required.)
70687,5,Pattern Finding ,0.6026263812315007,Student shows low estimated mastery (60%) on 'Pattern Finding '. Recommend revisiting this skill before progressing. (Teacher review required.)
70688,1,Write Linear Equation from Graph,0.3907456303298827,Student shows low estimated mastery (39%) on 'Write Linear Equation from Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70688,2,Number Line,0.6377205136263295,Student shows low estimated mastery (64%) on 'Number Line'. Recommend revisiting this skill before progressing. (Teacher review required.)
70688,3,Solving Inequalities,0.6563565684961725,Student shows low estimated mastery (66%) on 'Solving Inequalities'. Recommend revisiting this skill before progressing. (Teacher review required.)
70688,4,Mean,0.7025342298704527,Student shows low estimated mastery (70%) on 'Mean'. Recommend revisiting this skill before progressing. (Teacher review required.)
70688,5,Rounding,0.7627670813597547,Student shows low estimated mastery (76%) on 'Rounding'. Recommend revisiting this skill before progressing. (Teacher review required.)
70692,1,Addition and Subtraction Positive Decimals,0.3650698228029216,Student shows low estimated mastery (37%) on 'Addition and Subtraction Positive Decimals'. Recommend revisiting this skill before progressing. (Teacher review required.)
70692,2,Multiplication Fractions,0.4546136457126645,Student shows low estimated mastery (45%) on 'Multiplication Fractions'. Recommend revisiting this skill before progressing. (Teacher review required.)
70692,3,Ordering Positive Decimals,0.541123009646969,Student shows low estimated mastery (54%) on 'Ordering Positive Decimals'. Recommend revisiting this skill before progressing. (Teacher review required.)
70692,4,Addition Whole Numbers,0.7544204138484042,Student shows low estimated mastery (75%) on 'Addition Whole Numbers'. Recommend revisiting this skill before progressing. (Teacher review required.)
70692,5,Rounding,0.7627670813597547,Student shows low estimated mastery (76%) on 'Rounding'. Recommend revisiting this skill before progressing. (Teacher review required.)
70693,1,Ordering Integers,0.1108619790143502,Student shows low estimated mastery (11%) on 'Ordering Integers'. Recommend revisiting this skill before progressing. (Teacher review required.)
70693,2,Square Root,0.1694036286044221,Student shows low estimated mastery (17%) on 'Square Root'. Recommend revisiting this skill before progressing. (Teacher review required.)
70693,3,Ordering Real Numbers,0.3446418994976123,Student shows low estimated mastery (34%) on 'Ordering Real Numbers'. Recommend revisiting this skill before progressing. (Teacher review required.)
70693,4,Addition and Subtraction Integers,0.3823214848163041,Student shows low estimated mastery (38%) on 'Addition and Subtraction Integers'. Recommend revisiting this skill before progressing. (Teacher review required.)
70693,5,Conversion of Fraction Decimals Percents,0.6114202435261022,Student shows low estimated mastery (61%) on 'Conversion of Fraction Decimals Percents'. Recommend revisiting this skill before progressing. (Teacher review required.)
70695,1,Ordering Fractions,0.1055086353587899,Student shows low estimated mastery (11%) on 'Ordering Fractions'. Recommend revisiting this skill before progressing. (Teacher review required.)
70695,2,Conversion of Fraction Decimals Percents,0.1413877288480352,Student shows low estimated mastery (14%) on 'Conversion of Fraction Decimals Percents'. Recommend revisiting this skill before progressing. (Teacher review required.)
70695,3,Pythagorean Theorem,0.5020505754243341,Student shows low estimated mastery (50%) on 'Pythagorean Theorem'. Recommend revisiting this skill before progressing. (Teacher review required.)
70695,4,Estimation,0.6027681883822344,Student shows low estimated mastery (60%) on 'Estimation'. Recommend revisiting this skill before progressing. (Teacher review required.)
70695,5,Histogram as Table or Graph,0.6091548575976323,Student shows low estimated mastery (61%) on 'Histogram as Table or Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70699,1,Pythagorean Theorem,0.0591566207426144,Student shows low estimated mastery (6%) on 'Pythagorean Theorem'. Recommend revisiting this skill before progressing. (Teacher review required.)
70699,2,Addition and Subtraction Positive Decimals,0.1117275361491793,Student shows low estimated mastery (11%) on 'Addition and Subtraction Positive Decimals'. Recommend revisiting this skill before progressing. (Teacher review required.)
70699,3,Percent Of,0.1627994793941969,Student shows low estimated mastery (16%) on 'Percent Of'. Recommend revisiting this skill before progressing. (Teacher review required.)
70699,4,Circle Graph,0.2063841781528274,Student shows low estimated mastery (21%) on 'Circle Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70699,5,Mean,0.2467226267750166,Student shows low estimated mastery (25%) on 'Mean'. Recommend revisiting this skill before progressing. (Teacher review required.)
70701,1,Addition and Subtraction Integers,0.1033066454071585,Student shows low estimated mastery (10%) on 'Addition and Subtraction Integers'. Recommend revisiting this skill before progressing. (Teacher review required.)
70701,2,Absolute Value,0.4270954885317387,Student shows low estimated mastery (43%) on 'Absolute Value'. Recommend revisiting this skill before progressing. (Teacher review required.)
70701,3,Prime Number,0.6335921884281871,Student shows low estimated mastery (63%) on 'Prime Number'. Recommend revisiting this skill before progressing. (Teacher review required.)
70702,1,Rotations,0.4150594763774233,Student shows low estimated mastery (42%) on 'Rotations'. Recommend revisiting this skill before progressing. (Teacher review required.)
70702,2,Reflection,0.7996674387934805,Student shows low estimated mastery (80%) on 'Reflection'. Recommend revisiting this skill before progressing. (Teacher review required.)
70704,1,Equation Solving Two or Fewer Steps,0.6392393182976164,Student shows low estimated mastery (64%) on 'Equation Solving Two or Fewer Steps'. Recommend revisiting this skill before progressing. (Teacher review required.)
70706,1,Scale Factor,0.635168707333685,Student shows low estimated mastery (64%) on 'Scale Factor'. Recommend revisiting this skill before progressing. (Teacher review required.)
70706,2,Absolute Value,0.7622043028803718,Student shows low estimated mastery (76%) on 'Absolute Value'. Recommend revisiting this skill before progressing. (Teacher review required.)
70706,3,Multiplication and Division Positive Decimals,0.791292831621466,Student shows low estimated mastery (79%) on 'Multiplication and Division Positive Decimals'. Recommend revisiting this skill before progressing. (Teacher review required.)
70707,1,Equation Solving More Than Two Steps,0.1943475081568218,Student shows low estimated mastery (19%) on 'Equation Solving More Than Two Steps'. Recommend revisiting this skill before progressing. (Teacher review required.)
70707,2,Rotations,0.2209841315525854,Student shows low estimated mastery (22%) on 'Rotations'. Recommend revisiting this skill before progressing. (Teacher review required.)
70707,3,Surface Area Cylinder,0.3604963015815081,Student shows low estimated mastery (36%) on 'Surface Area Cylinder'. Recommend revisiting this skill before progressing. (Teacher review required.)
70707,4,Write Linear Equation from Graph,0.3907456303298827,Student shows low estimated mastery (39%) on 'Write Linear Equation from Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70707,5,Surface Area Rectangular Prism,0.4853279067074948,Student shows low estimated mastery (49%) on 'Surface Area Rectangular Prism'. Recommend revisiting this skill before progressing. (Teacher review required.)
70708,1,Pythagorean Theorem,0.3312325582700725,Student shows low estimated mastery (33%) on 'Pythagorean Theorem'. Recommend revisiting this skill before progressing. (Teacher review required.)
70708,2,Estimation,0.5626698840653594,Student shows low estimated mastery (56%) on 'Estimation'. Recommend revisiting this skill before progressing. (Teacher review required.)
70708,3,Circle Graph,0.582999318748627,Student shows low estimated mastery (58%) on 'Circle Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70708,4,Probability of Two Distinct Events,0.59986243263352,Student shows low estimated mastery (60%) on 'Probability of Two Distinct Events'. Recommend revisiting this skill before progressing. (Teacher review required.)
70708,5,Write Linear Equation from Graph,0.6059174219161154,Student shows low estimated mastery (61%) on 'Write Linear Equation from Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70709,1,Divisibility Rules,0.2722122572234816,Student shows low estimated mastery (27%) on 'Divisibility Rules'. Recommend revisiting this skill before progressing. (Teacher review required.)
70709,2,Multiplication Fractions,0.6502009806749919,Student shows low estimated mastery (65%) on 'Multiplication Fractions'. Recommend revisiting this skill before progressing. (Teacher review required.)
70709,3,Ordering Positive Decimals,0.6682854512994618,Student shows low estimated mastery (67%) on 'Ordering Positive Decimals'. Recommend revisiting this skill before progressing. (Teacher review required.)
70709,4,Division Fractions,0.6899897141301159,Student shows low estimated mastery (69%) on 'Division Fractions'. Recommend revisiting this skill before progressing. (Teacher review required.)
70709,5,Range,0.7144375909980194,Student shows low estimated mastery (71%) on 'Range'. Recommend revisiting this skill before progressing. (Teacher review required.)
70727,1,Angles on Parallel Lines Cut by a Transversal,0.1698732498238001,Student shows low estimated mastery (17%) on 'Angles on Parallel Lines Cut by a Transversal'. Recommend revisiting this skill before progressing. (Teacher review required.)
70727,2,Rotations,0.4691689712374211,Student shows low estimated mastery (47%) on 'Rotations'. Recommend revisiting this skill before progressing. (Teacher review required.)
70727,3,Translations,0.7054591182409269,Student shows low estimated mastery (71%) on 'Translations'. Recommend revisiting this skill before progressing. (Teacher review required.)
70727,4,Probability of Two Distinct Events,0.7571400469945204,Student shows low estimated mastery (76%) on 'Probability of Two Distinct Events'. Recommend revisiting this skill before progressing. (Teacher review required.)
70727,5,Solving for a variable,0.7725436184531771,Student shows low estimated mastery (77%) on 'Solving for a variable'. Recommend revisiting this skill before progressing. (Teacher review required.)
70728,1,Proportion,0.2201935887004656,Student shows low estimated mastery (22%) on 'Proportion'. Recommend revisiting this skill before progressing. (Teacher review required.)
70728,2,Scientific Notation,0.3480951560003169,Student shows low estimated mastery (35%) on 'Scientific Notation'. Recommend revisiting this skill before progressing. (Teacher review required.)
70728,3,Least Common Multiple,0.4003666033154834,Student shows low estimated mastery (40%) on 'Least Common Multiple'. Recommend revisiting this skill before progressing. (Teacher review required.)
70728,4,Probability of Two Distinct Events,0.59986243263352,Student shows low estimated mastery (60%) on 'Probability of Two Distinct Events'. Recommend revisiting this skill before progressing. (Teacher review required.)
70728,5,Prime Number,0.6335921884281871,Student shows low estimated mastery (63%) on 'Prime Number'. Recommend revisiting this skill before progressing. (Teacher review required.)
70729,1,Conversion of Fraction Decimals Percents,0.1202434908176375,Student shows low estimated mastery (12%) on 'Conversion of Fraction Decimals Percents'. Recommend revisiting this skill before progressing. (Teacher review required.)
70729,2,Pattern Finding ,0.2851142558196594,Student shows low estimated mastery (29%) on 'Pattern Finding '. Recommend revisiting this skill before progressing. (Teacher review required.)
70729,3,Median,0.2894557635659364,Student shows low estimated mastery (29%) on 'Median'. Recommend revisiting this skill before progressing. (Teacher review required.)
70729,4,Unit Rate,0.3506822891381356,Student shows low estimated mastery (35%) on 'Unit Rate'. Recommend revisiting this skill before progressing. (Teacher review required.)
70729,5,Circle Graph,0.3588302258201782,Student shows low estimated mastery (36%) on 'Circle Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70730,1,Median,0.5360651531257835,Student shows low estimated mastery (54%) on 'Median'. Recommend revisiting this skill before progressing. (Teacher review required.)
70730,2,Circle Graph,0.582999318748627,Student shows low estimated mastery (58%) on 'Circle Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70730,3,Scale Factor,0.635168707333685,Student shows low estimated mastery (64%) on 'Scale Factor'. Recommend revisiting this skill before progressing. (Teacher review required.)
70730,4,Box and Whisker,0.7673595037439533,Student shows low estimated mastery (77%) on 'Box and Whisker'. Recommend revisiting this skill before progressing. (Teacher review required.)
70731,1,Circle Graph,0.3588302258201782,Student shows low estimated mastery (36%) on 'Circle Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70731,2,Order of Operations All,0.5210821610581766,Student shows low estimated mastery (52%) on 'Order of Operations All'. Recommend revisiting this skill before progressing. (Teacher review required.)
70731,3,Pattern Finding ,0.6026263812315007,Student shows low estimated mastery (60%) on 'Pattern Finding '. Recommend revisiting this skill before progressing. (Teacher review required.)
70732,1,Circumference ,0.1369187387432733,Student shows low estimated mastery (14%) on 'Circumference '. Recommend revisiting this skill before progressing. (Teacher review required.)
70732,2,Pythagorean Theorem,0.1393635887908306,Student shows low estimated mastery (14%) on 'Pythagorean Theorem'. Recommend revisiting this skill before progressing. (Teacher review required.)
70732,3,Absolute Value,0.1780663366024111,Student shows low estimated mastery (18%) on 'Absolute Value'. Recommend revisiting this skill before progressing. (Teacher review required.)
70732,4,Addition and Subtraction Positive Decimals,0.3361147578870234,Student shows low estimated mastery (34%) on 'Addition and Subtraction Positive Decimals'. Recommend revisiting this skill before progressing. (Teacher review required.)
70732,5,Scientific Notation,0.3370110421235874,Student shows low estimated mastery (34%) on 'Scientific Notation'. Recommend revisiting this skill before progressing. (Teacher review required.)
70733,1,Solving for a variable,0.1255113556984252,Student shows low estimated mastery (13%) on 'Solving for a variable'. Recommend revisiting this skill before progressing. (Teacher review required.)
70733,2,Pythagorean Theorem,0.1588920045894248,Student shows low estimated mastery (16%) on 'Pythagorean Theorem'. Recommend revisiting this skill before progressing. (Teacher review required.)
70733,3,Equivalent Fractions,0.2585114429434695,Student shows low estimated mastery (26%) on 'Equivalent Fractions'. Recommend revisiting this skill before progressing. (Teacher review required.)
70733,4,Probability of Two Distinct Events,0.3949022944653633,Student shows low estimated mastery (39%) on 'Probability of Two Distinct Events'. Recommend revisiting this skill before progressing. (Teacher review required.)
70733,5,Counting Methods,0.4747214489959401,Student shows low estimated mastery (47%) on 'Counting Methods'. Recommend revisiting this skill before progressing. (Teacher review required.)
70734,1,Surface Area Rectangular Prism,0.3561919933629638,Student shows low estimated mastery (36%) on 'Surface Area Rectangular Prism'. Recommend revisiting this skill before progressing. (Teacher review required.)
70734,2,Calculations with Similar Figures,0.7129007372169741,Student shows low estimated mastery (71%) on 'Calculations with Similar Figures'. Recommend revisiting this skill before progressing. (Teacher review required.)
70734,3,Absolute Value,0.7622043028803718,Student shows low estimated mastery (76%) on 'Absolute Value'. Recommend revisiting this skill before progressing. (Teacher review required.)
70734,4,Rounding,0.7627670813597547,Student shows low estimated mastery (76%) on 'Rounding'. Recommend revisiting this skill before progressing. (Teacher review required.)
70734,5,Solving for a variable,0.7725436184531771,Student shows low estimated mastery (77%) on 'Solving for a variable'. Recommend revisiting this skill before progressing. (Teacher review required.)
70736,1,Circle Graph,0.1326990520102449,Student shows low estimated mastery (13%) on 'Circle Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70736,2,Ordering Real Numbers,0.2104600043690003,Student shows low estimated mastery (21%) on 'Ordering Real Numbers'. Recommend revisiting this skill before progressing. (Teacher review required.)
70736,3,Pythagorean Theorem,0.3474718468537526,Student shows low estimated mastery (35%) on 'Pythagorean Theorem'. Recommend revisiting this skill before progressing. (Teacher review required.)
70736,4,Equivalent Fractions,0.4124382830443273,Student shows low estimated mastery (41%) on 'Equivalent Fractions'. Recommend revisiting this skill before progressing. (Teacher review required.)
70736,5,Number Line,0.4764805471090902,Student shows low estimated mastery (48%) on 'Number Line'. Recommend revisiting this skill before progressing. (Teacher review required.)
70740,1,Pythagorean Theorem,0.2995733212826812,Student shows low estimated mastery (30%) on 'Pythagorean Theorem'. Recommend revisiting this skill before progressing. (Teacher review required.)
70740,2,Write Linear Equation from Graph,0.6059174219161154,Student shows low estimated mastery (61%) on 'Write Linear Equation from Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70740,3,Scale Factor,0.635168707333685,Student shows low estimated mastery (64%) on 'Scale Factor'. Recommend revisiting this skill before progressing. (Teacher review required.)
70740,4,Number Line,0.6897946735894639,Student shows low estimated mastery (69%) on 'Number Line'. Recommend revisiting this skill before progressing. (Teacher review required.)
70740,5,Solving Inequalities,0.7040633417610845,Student shows low estimated mastery (70%) on 'Solving Inequalities'. Recommend revisiting this skill before progressing. (Teacher review required.)
70743,1,Ordering Positive Decimals,0.3238157569484533,Student shows low estimated mastery (32%) on 'Ordering Positive Decimals'. Recommend revisiting this skill before progressing. (Teacher review required.)
70743,2,Multiplication Fractions,0.6502009806749919,Student shows low estimated mastery (65%) on 'Multiplication Fractions'. Recommend revisiting this skill before progressing. (Teacher review required.)
70743,3,Addition and Subtraction Integers,0.7685004716379874,Student shows low estimated mastery (77%) on 'Addition and Subtraction Integers'. Recommend revisiting this skill before progressing. (Teacher review required.)
70743,4,Ordering Fractions,0.7715811661284936,Student shows low estimated mastery (77%) on 'Ordering Fractions'. Recommend revisiting this skill before progressing. (Teacher review required.)
70744,1,Pythagorean Theorem,0.1739962714880142,Student shows low estimated mastery (17%) on 'Pythagorean Theorem'. Recommend revisiting this skill before progressing. (Teacher review required.)
70744,2,Circle Graph,0.3588302258201782,Student shows low estimated mastery (36%) on 'Circle Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70744,3,Probability of Two Distinct Events,0.4606110391430797,Student shows low estimated mastery (46%) on 'Probability of Two Distinct Events'. Recommend revisiting this skill before progressing. (Teacher review required.)
70744,4,Counting Methods,0.5803222334252047,Student shows low estimated mastery (58%) on 'Counting Methods'. Recommend revisiting this skill before progressing. (Teacher review required.)
70744,5,Pattern Finding ,0.6026263812315007,Student shows low estimated mastery (60%) on 'Pattern Finding '. Recommend revisiting this skill before progressing. (Teacher review required.)
70745,1,Probability of Two Distinct Events,0.1586149512642837,Student shows low estimated mastery (16%) on 'Probability of Two Distinct Events'. Recommend revisiting this skill before progressing. (Teacher review required.)
70745,2,Counting Methods,0.2525340703778277,Student shows low estimated mastery (25%) on 'Counting Methods'. Recommend revisiting this skill before progressing. (Teacher review required.)
70745,3,Rotations,0.3725930370592276,Student shows low estimated mastery (37%) on 'Rotations'. Recommend revisiting this skill before progressing. (Teacher review required.)
70745,4,Surface Area Rectangular Prism,0.4853279067074948,Student shows low estimated mastery (49%) on 'Surface Area Rectangular Prism'. Recommend revisiting this skill before progressing. (Teacher review required.)
70745,5,Circle Graph,0.582999318748627,Student shows low estimated mastery (58%) on 'Circle Graph'. Recommend revisiting this skill before progressing. (Teacher review required.)
70746,1,Pythagorean Theorem,0.114077089424554,Student shows low estimated mastery (11%) on 'Pythagorean Theorem'. Recommend revisiting this skill before progressing. (Teacher review required.)
70746,2,Equation Solving More Than Two Steps,0.2934269522461598,Student shows low estimated mastery (29%) on 'Equation Solving More Than Two Steps'. Recommend revisiting this skill before progressing. (Teacher review required.)
70746,3,Rotations,0.3120650780338843,Student shows low estimated mastery (31%) on 'Rotations'. Recommend revisiting this skill before progressing. (Teacher review required.)
70746,4,Write Linear Equation from Ordered Pairs,0.3207632534852678,Student shows low estimated mastery (32%) on 'Write Linear Equation from Ordered Pairs'. Recommend revisiting this skill before progressing. (Teacher review required.)
70746,5,Surface Area Cylinder,0.3604963015815081,Student shows low estimated mastery (36%) on 'Surface Area Cylinder'. Recommend revisiting this skill before progressing. (Teacher review required.)
70748,1,Surface Area Rectangular Prism,0.4853279067074948,Student shows low estimated mastery (49%) on 'Surface Area Rectangular Prism'. Recommend revisiting this skill before progressing. (Teacher review required.)
70748,2,Solving for a variable,0.6349604312185454,Student shows low estimated mastery (63%) on 'Solving for a variable'. Recommend revisiting this skill before progressing. (Teacher review required.)
70748,3,Percent Of,0.6743636527109956,Student shows low estimated mastery (67%) on 'Percent Of'. Recommend revisiting this skill before progressing. (Teacher review required.)
70748,4,Unit Rate,0.6846954506534627,Student shows low estimated mastery (68%) on 'Unit Rate'. Recommend revisiting this skill before progressing. (Teacher review required.)
70748,5,Division Fractions,0.6899897141301159,Student shows low estimated mastery (69%) on 'Division Fractions'. Recommend revisiting this skill before progressing. (Teacher review required.)
70750,1,Absolute Value,0.2633747420051754,Student shows low estimated mastery (26%) on 'Absolute Value'. Recommend revisiting this skill before progressing. (Teacher review required.)
70750,2,Subtraction Whole Numbers,0.4701145455464233,Student shows low estimated mastery (47%) on 'Subtraction Whole Numbers'. Recommend revisiting this skill before progressing. (Teacher review required.)
70750,3,Median,0.5335909886586909,Student shows low estimated mastery (53%) on 'Median'. Recommend revisiting this skill before progressing. (Teacher review required.)
